company_id,job_title,date,name_company,link_company
7550,DATA ANALYST OU DATA INGÉNIEUR (F/H) - EN ALTERNANCE,2023-05-12,Carrefour,http://www.carrefour.com/
458,Data Analyst 2,2023-08-06,Comcast,http://www.comcast.com/
21422,Data Analyst,2023-05-03,eTeam Inc.,http://www.eteaminc.com/
38908,Data Analyst (h/f),2023-02-04,ADECCO,http://www.adeccogroup.com/
1072,Ingénieur Data,2023-12-06,Capgemini,http://www.capgemini.com/
111322,Business Data Analyst-(H/F),2023-07-30,Société générale,http://www.societegenerale.com/
262056,Business Intelligence Engineer,2023-12-22,Theblockchain Group,http://theblockchain-group.com/
200482,DATA ANALYST (H/F),2023-10-03,EDYCEM,http://www.edycem.fr/
3276,Data Analyst. Job in Nice Cambridge Careers,2023-04-24,Peroptyx,http://www.peroptyx.com/
6933,Data Analyst Epargne,2023-10-19,Generali,http://www.generali.com/
162,Analytics Engineer - full remote,2023-01-11,Harnham,http://harnham.com/
14573,Alternance - Data analyst & Project manager (H/F),2023-08-13,Societe Generale,http://www.societegenerale.com/
31077,data analyst f/h,2023-08-28,COVEA,http://www.covea.eu/
1903,STAGE - Support au déploiement des outils d'analyse de données F/H,2023-12-29,Safran,http://www.safran-group.com/
4842,data analyst production ferroviaire transilien sncf,2023-11-16,SNCF,https://www.sncf.com/
59581,DATA ANALYST H/F,2023-04-07,MAIF,http://www.maif.fr/
7758,Data Analyst H/F,2023-05-25,Credit Agricole,http://www.credit-agricole.com/
20952,Data Analyst(H/F),2023-06-16,Société Générale,http://www.societegenerale.com/
36063,Business Data Analyst,2023-12-08,Martin Brower France,http://martinbrower-ensemble.fr/
23943,"Apprenti Data analyst Apprenti Data analyst Ancenis, FR, 44150 11...",2023-05-12,Manitou Group,http://www.manitou.com/
73550,(DGDDI - DNRED) - Data analyst (cat. A) H/F,2023-10-03,"Ministère de l-Économie, des Finances et de la Souveraineté industrielle et numérique",http://www.economie.gouv.fr/
365309,Data Analyst H/F,2023-09-30,IN'LI,http://www.ogif.fr/
8693,Data Analyst Supply Chain h/f - Lezennes (59),2023-01-16,Leroy Merlin,http://www.leroymerlin.com/
458,"Analyst 4, Enterprise Data Analytics",2023-10-02,Comcast,http://www.comcast.com/
1014,STAGE - Finance data analyst,2023-11-17,Stellantis,http://www.fcagroup.com/
770676,sap master data lead,2023-10-25,Adler Pelzer Group,http://www.adlerpelzer.com/
7745,Data Analyst GIM France,2023-02-01,Saint-Gobain,http://www.saint-gobain.com/
7760,Data analyst,2023-11-27,Renault Group,http://www.renault.com/
1861,Data Analyst Acquisition Clients,2023-12-16,SGS Société Générale de Surveillance SA,http://www.sgs.com/
22942,Junior Claims Data Analyst M/F,2023-09-16,Crédit Agricole Assurances,http://www.ca-assurances.com/
5064,Analyst Data,2023-12-16,AstraZeneca GmbH,http://www.astrazeneca.de/
2741,"Analytics Engineer, Monetisation",2023-01-09,Vinted,http://vinted.com/
8537,Data Analyst en Logistique Industrielle,2023-09-21,AB Volvo,http://www.volvo.com/
8594,Alternant Data analyst / manager H/F,2023-04-11,Eureden,http://www.eureden.com/
11364,STAGE - Data Analyst / SIG,2023-02-15,TotalEnergies,http://www.total.com/
1044,Consultant Expérimenté & Manager en « Data Analyst & BI » ...,2023-02-11,EY,http://www.ey.com/
15482,Data Analyst,2023-01-04,Integrated DNA Technologies,http://www.idtdna.com/
10609,Data Analyst F/H,2023-04-11,Saint Gobain,http://www.saint-gobain.com/
28620,Data Analyst (F/H) - Contrat d'alternance,2023-04-20,RATPgroup,http://www.ratp.fr/
29419,Data Analyst EMEA H/F,2023-06-05,Estée Lauder,http://www.elcompanies.com/
16555,Data Analyst F/H,2023-08-21,Enedis,http://www.enedis.fr/
30718,data analyst,2023-02-12,Conservatoire National des Arts et Métiers,http://www.cnam.fr/
5064,Data Analyste SQL,2023-12-16,AstraZeneca GmbH,http://www.astrazeneca.de/
34680,Data Analyst H/F en télétravail,2023-12-16,Groupe M6,http://www.6play.fr/
34844,Stage Data Analyst  H/F,2023-08-09,OUEST FRANCE,http://www.ouest-france.fr/
35037,Wind Data Analyst ILA Engineer,2023-04-02,Bureau Veritas,http://www.bureauveritas.com/
22972,Data Analyst,2023-12-03,Orange Business,http://www.orange-business.com/
19339,Data ingénieur/data analyste F/H,2023-12-05,Pôle Emploi,http://www.pole-emploi.fr/
11364,Ingénieur Data Analyst Système Embarqué F/H,2023-08-15,TotalEnergies,http://www.total.com/
47510,Data Analyst M/F,2023-05-13,Crédit Agricole Group,http://www.credit-agricole.com/
47571,Data Analyst II,2023-03-05,Acord (association For Cooperative Operations Research And Development),http://www.acord.org/
17635,Alternance - Data Analyst H/F - Lyon,2023-03-16,Informatique Banque Populaire,http://www.banquepopulaire.fr/
2602,Stage Data Analyst,2023-05-13,GE Renewable Energy,http://www.gerenewableenergy.com/
50943,Data Analyst F/H,2023-07-20,Aéroports de Lyon,http://www.lyonaeroports.com/
26808,STAGE - Data Analyst H/F,2023-03-18,AFI KLM E&M,http://www.airfranceindustries.com/
59721,Data Analyst F/H H/F,2023-12-01,IZI Solutions,http://izi-by-edf.fr/
2,Data Analyst Industriel F/H,2023-03-02,Groupe ADP,http://www.groupeadp.fr/
31187,Data analyst F/H/X,2023-03-17,Citeo,https://www.citeo.com/
63077,Internship - Marketplace Data Analyst (6 months) - H/F,2023-01-05,ADEO,http://www.adeo.com/
63171,Data Analyst,2023-01-05,GAMIVO S.A.,http://www.gamivo.co/
4475,Data Analyst,2023-04-23,Fivesky,http://fivesky.com/
75548,Stage Data Analyst,2023-07-27,Adomik,http://www.adomik.com/
75699,Alternance data analyst,2023-05-13,COFIDIS FRANCE,http://www.cofidis.fr/
75822,CTO / Dev / Data Scientist / Data Analyst,2023-01-02,France Digitale,http://www.francedigitale.org/
77229,Alternant Data analyst / manager H/F,2023-04-03,EUREDEN,http://www.eureden.com/
19265,Wind Data Analyst ILA Engineer (F-H-X),2023-03-09,Bureau Veritas Group,http://www.bureauveritas.com/
57,Data Analyst,2023-03-05,Le Wagon,https://www.lewagon.com/fr/paris?utm_source=google&utm_medium=google-my-business
95755,Stage - Ynoveo - Data Analyst H/F,2023-08-17,Ynoveo,https://www.ynoveo.fr/
8693,Manager Data Analyst H/F,2023-01-17,Leroy Merlin,http://www.leroymerlin.com/
8693,Business Data Analyst H/F,2023-03-09,Leroy Merlin,http://www.leroymerlin.com/
21520,[Stage] Data Analyst SQL F/H,2023-12-06,Carrefour France,http://www.carrefour.com/
103244,Data Analyst,2023-12-06,DALKIA,http://www.dalkia.fr/
70463,ApprenticeShip Data Analyst F/M,2023-07-12,SIX Payment Services,http://www.six-payment-services.com/
53429,Data Analyst Achats - Entegra,2023-08-15,JOBLIFT GMBH,http://joblift.de/
53429,Data Analyst H/F (CDI),2023-08-15,JOBLIFT GMBH,http://joblift.de/
9708,CDD - Data Analyst CRM - Gestion de campagne marketingF/H,2023-02-28,La Banque Postale,http://www.labanquepostale.com/
98322,Data Analyst F/H,2023-02-28,Voyage Privé,http://www.voyage-prive.com/
23247,Actuarial Data Analyst,2023-02-28,PartnerRe,http://partnerre.com/
